"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"ACOT4"	3.9818	3.7741	3.8863	3.6518	4.0387	3.8163
"ACOT6"	3.7028	3.4616	3.6689	3.6351	3.6723	3.5183
"ACOT7"	9.827	9.8205	9.7284	9.7551	9.7174	9.6596
"ACOT8"	7.2528	7.3653	7.2333	7.8835	7.767	7.7514
"ACOT9"	9.8785	9.912	10.0107	9.6826	9.5729	9.4824
"ACOX1"	8.2127	8.1258	8.1129	8.0945	8.0335	7.9578
"ACOX2"	4.5346	4.371	4.2587	4.3816	4.4304	4.471
"ACOX3"	8.0117	8.0188	7.7732	7.525	7.5605	7.3446
"ACOXL"	4.201	4.3501	4.3698	4.1732	4.1492	4.147
"ACP1"	11.6542	11.7023	11.6229	11.5023	11.4925	11.3897
"ACP2"	8.1717	8.0485	7.9087	8.771	8.6523	8.5369
"ACP5"	5.7902	5.5931	5.8201	5.3771	5.7915	5.7498
"ACP6"	8.0065	8.128	8.09	9.0218	8.9284	8.9402
"ACPP"	3.5824	3.5154	3.5882	3.6767	3.65	3.719
"ACPT"	6.852	6.6383	6.8467	6.6631	6.5755	6.9021
"ACR"	5.5364	5.575	5.6157	5.498	5.484	5.4441
"ACRBP"	5.2781	5.0539	4.9634	5.0373	5.2181	5.0902
"ACRC"	6.6914	6.9645	6.7938	6.9367	6.4349	6.5698
"ACRV1"	4.7111	4.6962	4.7222	4.6812	4.6818	4.748
"ACSBG1"	4.1996	4.1468	4.244	4.0135	4.087	4.059
"ACSBG2"	5.3605	5.1464	5.2498	5.1804	5.1348	4.9974
"ACSF2"	6.8853	6.9362	7.1147	7.5075	7.8224	7.6006
"ACSF3"	5.3779	5.0079	5.2774	5.2709	5.4893	5.248
"ACSL1"	8.7249	8.8198	8.7241	8.717	8.7564	8.6101
"ACSL3"	10.5183	10.442	10.2704	10.5403	10.6567	10.5714
"ACSL4"	4.6886	4.7599	5.0013	5.3191	5.0306	5.4414
"ACSL5"	4.681	4.4409	4.5546	4.2418	4.3767	4.3515
"ACSL6"	5.4703	5.2855	5.5064	5.3829	5.3472	5.3718
"ACSM1"	3.9031	3.882	3.782	3.8294	3.7956	3.7851
"ACSM2A"	2.9818	3.0713	3.1149	3.0036	3.2193	3.0229
"ACSM2B"	3.9613	4.0224	4.0092	3.8588	4.1395	4.0679
"ACSM3"	4.951	5.0585	4.7057	4.5883	4.59	4.3966
"ACSM5"	4.7207	4.7305	4.7528	4.6956	4.7886	4.7188
"ACSS1"	5.3354	5.2885	5.3403	5.4988	5.3048	5.423
"ACSS2"	6.9321	6.7092	6.8119	7.3738	7.3338	7.3701
"ACSS3"	5.6821	6.0374	5.9594	6.5636	6.5105	6.4513
"ACTA1"	4.9801	5.0997	4.9574	4.7593	4.7716	4.1803
"ACTA2"	4.1807	4.0726	4.1782	4.2216	4.162	4.2216
"ACTA2-AS1"	4.3702	4.3677	4.3082	4.4165	4.4761	4.2926
"ACTB"	13.0149	12.9834	13.0159	13.0103	13.0065	13.031
"ACTC1"	6.0846	6.0433	6.0499	6.0749	5.9348	6.0433
"ACTG1P17"	4.4359	4.2793	4.4054	4.282	4.4329	4.2405
"ACTG2"	5.0694	5.1391	5.0696	4.8988	4.9731	5.036
"ACTL10"	6.2945	5.9455	6.0416	5.9715	6.1255	6.0151
"ACTL6A"	10.2169	10.1724	10.302	10.009	10.0175	10.1202
"ACTL6B"	5.0013	5.0216	4.962	4.7999	4.9954	4.9679
"ACTL7A"	5.5403	5.5151	5.3296	5.4265	5.4644	5.7069
"ACTL7B"	5.4731	5.3196	5.3196	5.2779	5.3727	5.5821
"ACTL8"	6.5666	6.097	6.2593	6.036	6.036	5.9848
"ACTL9"	3.7503	3.7952	3.5487	3.6564	3.3957	3.675
"ACTN1"	8.1631	8.073	8.092	7.8552	7.8625	7.7598
"ACTN2"	5.0224	5.2571	5.0803	4.9955	5.0078	4.98
"ACTN3"	5.2533	5.0046	5.1209	5.0876	5.1722	5.2089
"ACTN4"	7.8669	8.0488	8.061	8.0805	8.1779	8.0742
"ACTR10"	10.9184	10.7615	10.9858	11.8772	11.7423	11.8248
"ACTR1A"	9.6399	9.551	9.5225	9.5301	9.4826	9.431
"ACTR1B"	8.953	8.9308	8.9534	9.2628	9.4045	9.3478
"ACTR2"	8.9084	8.8691	8.9226	8.7017	8.5828	8.4992
"ACTR3"	11.5914	11.6387	11.5823	11.219	11.3822	11.3267
"ACTR3B"	9.4682	9.4165	9.3685	9.5386	9.5957	9.5696
"ACTR3BP2"	4.7436	4.5734	4.9457	4.7577	4.7963	4.8891
"ACTR3C"	5.3573	5.4292	5.2423	5.4895	5.2237	5.3994
"ACTR5"	8.2201	8.3085	8.219	7.8641	7.9038	7.7755
"ACTR6"	7.939	7.8952	7.8732	7.9844	7.9173	7.9815
"ACTR8"	8.7096	8.7793	8.7447	8.6235	8.5289	8.4692
"ACTRT2"	4.7881	4.9414	4.841	4.7677	4.757	4.7159
"ACTRT3"	6.1159	6.0786	5.9897	6.3513	6.2018	6.1854
"ACVR1"	8.879	8.7497	8.7453	9.1061	9.1	9.0189
"ACVR1B"	5.6806	5.6378	5.622	5.5095	5.575	5.5867
