"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"LOC100508631"	5.4954	5.4311	5.5835	5.7836	5.4619	5.5499
"LOC100509303"	4.8717	4.8795	4.6865	4.4587	4.7016	4.6264
"LOC100509814"	3.4537	3.2422	3.2977	3.4311	3.4422	3.1422
"LOC100630923"	6.3706	6.5602	6.3213	6.0872	5.8882	5.9854
"LOC100631378"	3.4656	3.4973	3.516	3.4924	3.5965	3.5224
"LOC100652768"	6.729	6.5183	6.7869	6.5765	6.5435	6.5932
"LOC100652911"	4.8524	4.9046	4.8133	4.6503	4.823	4.8769
"LOC100652999"	5.4218	5.6545	5.5132	5.2995	5.5435	5.6525
"LOC100996246"	5.8634	5.6496	5.4823	5.8933	5.9052	5.8613
"LOC100996251"	3.0142	3.043	3.0139	3.0557	3.0012	2.9226
"LOC100996255"	6.901	6.9025	7.1234	7.4104	7.0855	7.2588
"LOC100996263"	4.5609	4.383	4.3138	4.4343	4.5073	4.6221
"LOC100996286"	5.4819	5.1898	5.4506	5.4369	5.5124	5.5715
"LOC100996325"	2.9385	2.9772	3.2057	2.8232	2.8791	2.8417
"LOC100996342"	5.4707	5.373	5.4542	5.2948	5.3672	5.3564
"LOC100996345"	4.1662	4.1089	4.1089	4.2855	4.1189	4.1416
"LOC100996349"	7.2217	7.1139	7.0823	6.8969	6.9466	6.8187
"LOC100996385"	3.3857	3.4173	3.6566	3.225	3.4726	3.2809
"LOC100996404"	3.5866	3.3995	3.479	3.5146	3.4107	3.6039
"LOC100996419"	5.5907	5.5536	5.5938	6.4383	6.2491	6.5023
"LOC100996455"	3.885	3.8758	3.8256	3.8418	3.8969	3.8418
"LOC100996506"	6.7525	6.6765	6.7149	6.6436	6.649	6.7264
"LOC100996549"	3.7455	3.4783	3.6412	3.5471	3.4432	3.6422
"LOC100996579"	4.6744	4.9863	4.9139	5.7967	5.6839	5.6756
"LOC100996583"	4.5642	4.795	4.7233	4.5727	4.4847	4.7052
"LOC100996624"	3.3144	3.4102	3.4044	3.1832	3.3499	3.3806
"LOC100996654"	4.175	4.1249	4.0224	3.8845	3.9623	3.8798
"LOC100996671"	4.5387	4.5082	4.4109	4.542	4.6975	4.4845
"LOC100996681"	5.8337	5.6849	5.9525	5.6279	5.9598	5.9076
"LOC100996694"	5.0581	4.6727	4.6599	4.849	4.745	4.6274
"LOC100996724"	5.9067	6.1197	5.888	6.0228	5.6604	5.9226
"LOC100996740"	8.8019	8.8798	8.9174	9.2497	9.2676	9.1154
"LOC100996756"	5.9787	6.0021	6.0727	5.8611	5.8377	5.9716
"LOC100996902"	4.1537	4.405	4.4188	4.0847	4.0014	4.1959
"LOC101059948"	3.8103	3.8183	3.7801	3.8698	3.8636	3.747
"LOC101060019"	3.5925	3.7362	3.6821	3.5056	3.5944	3.3849
"LOC101060091"	5.5517	5.9983	6.0955	5.3721	5.2681	5.5195
"LOC101060157"	3.3086	3.2129	3.3086	3.4395	3.4262	3.4699
"LOC101060391"	7.9939	8.4909	8.3856	9.1589	9.3504	9.2441
"LOC101060400"	5.5661	5.6158	5.5665	5.5354	5.701	5.7465
"LOC101060553"	3.9432	3.8663	3.901	3.8453	3.9337	3.8875
"LOC101559451"	5.8681	6.0166	6.0456	6.3345	6.2028	6.4733
"LOC101593348"	6.2741	6.2139	6.1359	5.6863	5.7611	5.4357
"LOC101926892"	3.4887	3.4985	3.4224	3.544	3.6382	3.5443
"LOC101926907"	4.1608	4.1937	3.9972	4.1251	4.0136	4.1758
"LOC101926913"	3.9303	4.1915	3.9217	4.3859	4.1251	4.2895
"LOC101926915"	4.4072	4.4099	4.4554	4.4399	4.4446	4.3804
"LOC101926918"	7.1709	7.0797	7.0826	7.0334	7.1463	7.2386
"LOC101926934"	3.9096	3.9132	3.9184	4.0707	3.857	3.9726
"LOC101926942"	4.1563	4.119	4.6868	4.3575	4.4966	4.4557
"LOC101926944"	3.4865	3.6457	3.6179	3.3411	3.261	3.2737
"LOC101926948"	5.6092	5.3152	5.4639	5.4324	5.5084	5.5094
"LOC101926959"	3.3327	3.2877	3.6098	3.0622	3.2702	3.3274
"LOC101926960"	3.1852	3.309	3.1267	3.3549	3.2127	3.0321
"LOC101926962"	4.0838	3.8156	4.1014	4.0948	3.7755	3.8319
"LOC101926963"	4.5572	4.4013	4.32	4.4524	4.5813	4.4879
"LOC101926967"	5.9551	5.9657	5.8361	6.3287	6.53	6.4012
"LOC101926975"	4.6054	4.484	4.4628	4.1469	4.4343	4.5598
"LOC101926984"	6.0813	6.0249	6.1462	6.0547	6.0886	6.1375
"LOC101926997"	3.9515	3.9255	3.8232	3.86	3.9423	3.8912
"LOC101927018"	3.1348	3.2339	3.064	3.3218	3.2996	3.2339
"LOC101927020"	4.8046	4.6307	4.6417	4.5188	4.5821	4.7068
"LOC101927021"	5.2453	5.1908	5.0529	5.4705	5.3675	5.4829
"LOC101927027"	6.0435	5.8759	6.055	6.7504	6.3361	6.5892
"LOC101927038"	3.7082	4.0181	3.7806	3.7015	3.849	3.9715
"LOC101927040"	3.8927	3.9898	4.0757	4.0609	3.8558	3.917
"LOC101927043"	3.5049	3.4094	3.4772	3.4182	3.4239	3.5065
"LOC101927044"	4.6841	5.0677	4.8124	5.0074	4.8703	4.936
"LOC101927051"	4.8055	4.8166	4.7735	4.7974	4.7973	4.7555
"LOC101927058"	3.6208	3.5015	3.5912	3.6216	3.4964	3.5791
"LOC101927059"	3.6094	3.5684	3.7349	3.6058	3.3225	3.5843
"LOC101927060"	5.1276	5.5164	5.051	5.3153	5.1004	5.2567
"LOC101927066"	3.0142	3.0505	2.9916	3.089	3.0761	3.049
"LOC101927069"	2.8267	2.7928	2.9305	2.8545	2.8929	2.8826
"LOC101927081"	3.8618	4	3.6475	3.857	3.6528	3.7435
"LOC101927089"	3.2707	3.3766	3.312	3.2765	3.1272	3.1976
"LOC101927093"	5.1463	5.0938	5.1794	5.0079	5.1242	5.289
"LOC101927098"	4.2419	4.0853	4.2345	4.3074	4.0975	4.3088
"LOC101927121"	2.9456	2.9673	3.0236	2.9766	2.9658	2.9571
"LOC101927123"	3.5253	3.4864	3.3489	3.2446	3.2522	3.4735
"LOC101927124"	3.292	3.5123	3.4045	3.5556	3.3854	3.4564
"LOC101927126"	4.9959	5.0049	5.1083	4.9764	4.9959	4.8915
"LOC101927131"	4.6795	4.8885	4.9274	4.7188	4.9174	4.8757
"LOC101927138"	3.7263	3.212	3.3697	3.3351	3.52	3.5163
"LOC101927143"	7.9092	7.8715	7.8153	7.6661	8.0072	7.9278
"LOC101927151"	7.6948	7.4906	7.5043	7.6307	7.545	7.6538
"LOC101927157"	4.7956	4.7508	4.7171	4.9626	4.95	4.8411
"LOC101927159"	4.9713	5.0632	5.0579	4.8746	5.0344	5.0158
"LOC101927164"	5.407	5.4381	5.4005	5.7766	5.5998	5.5764
"LOC101927165"	3.0398	3.1993	3.0531	3.0689	3.0838	3.0733
"LOC101927166"	5.5331	5.61	5.667	5.5306	5.4953	5.5041
"LOC101927181"	5.7071	5.6229	5.8594	5.7278	5.7563	5.7882
"LOC101927196"	3.1195	3.1303	3.1677	3.1138	3.0424	3.1326
"LOC101927204"	3.9677	3.9993	3.9659	3.8872	4.0034	3.9741
"LOC101927210"	4.9092	4.5617	4.867	4.9059	4.92	4.9102
"LOC101927211"	3.7866	3.6521	3.384	3.2293	3.3697	3.422
"LOC101927228"	4.162	4.0254	4.2183	3.9482	4.2293	4.1521
"LOC101927237"	3.2682	3.2682	3.2448	3.0708	2.9706	3.1035
"LOC101927244"	3.3089	3.3158	3.5225	3.4675	3.3586	3.3853
"LOC101927247"	5.63	5.5655	5.4729	5.5	5.5843	5.612
"LOC101927248"	4.6511	4.4873	4.4709	4.4873	4.5524	4.4149
"LOC101927253"	4.6335	4.1719	4.0442	3.823	4.1145	4.3937
"LOC101927254"	4.317	4.4959	4.6869	4.3653	4.7218	4.1995
"LOC101927256"	4.3774	4.2416	4.6465	4.2938	4.536	4.2352
"LOC101927257"	4.9526	4.9526	4.966	4.9372	4.8389	5.0373
"LOC101927263"	6.1288	6.1569	6.1987	7.1729	6.9505	6.8776
"LOC101927272"	4.1039	4.1039	4.1736	3.9521	3.8175	3.9615
"LOC101927274"	5.2988	5.2175	5.5417	5.268	5.4525	5.3792
"LOC101927278"	5.4747	5.2965	5.3655	5.3881	5.3493	5.3302
"LOC101927282"	3.6462	3.6467	3.8278	3.9094	3.7419	3.7117
"LOC101927286"	4.1148	4.0554	4.1832	4.0727	4.0403	4.1335
"LOC101927292"	3.2943	3.3444	3.3188	3.2731	3.4089	3.3222
"LOC101927305"	5.0639	4.9527	5.2096	5.2116	5.4823	5.4972
"LOC101927310"	3.1098	2.9992	3.0485	2.9992	2.8519	2.9508
"LOC101927313"	4.4423	4.1123	4.2616	4.1892	4.1326	4.1574
"LOC101927314"	2.9871	3.133	3.0408	2.9259	3.0142	3.0531
"LOC101927330"	5.8115	6.0497	5.7422	6.4118	6.3898	6.4335
"LOC101927331"	3.6206	3.368	3.5028	3.4755	3.4016	3.3175
"LOC101927339"	5.5683	5.4928	5.5028	5.3883	5.5003	5.6254
"LOC101927340"	4.2405	4.4441	4.3942	4.2555	4.0743	4.2586
"LOC101927342"	3.5044	3.5628	3.8108	3.8784	3.8989	3.8714
"LOC101927346"	3.3491	3.2138	3.1112	3.1654	3.1066	3.3376
"LOC101927348"	4.0103	3.8665	3.9431	3.9765	4.0475	4.0141
"LOC101927358"	3.1272	3.2482	3.5289	3.3675	3.2996	3.2394
"LOC101927359"	4.3643	4.4651	4.6246	4.0723	3.9712	4.0272
"LOC101927362"	6.18	6.1986	6.0279	6.1261	6.2195	6.1711
"LOC101927363"	3.2844	3.3903	3.2337	3.1437	3.3483	3.2723
"LOC101927365"	5.4971	5.485	5.5075	5.7864	5.7384	5.8123
"LOC101927377"	3.2827	3.1684	3.5026	3.1545	3.2854	3.2015
"LOC101927379"	4.9669	4.7755	4.7406	4.8415	4.8195	4.6989
"LOC101927391"	3.3203	3.5182	3.5378	3.644	3.605	3.5068
"LOC101927406"	4.9067	4.7855	4.8353	4.6467	4.935	4.8602
"LOC101927410"	5.2128	5.0304	5.2148	4.9799	5.1502	5.1677
"LOC101927411"	4.0044	3.9894	3.876	3.8485	4.2126	3.7692
"LOC101927416"	3.8172	3.6297	3.7305	3.5556	3.6694	3.7677
"LOC101927417"	3.786	3.7961	3.646	3.9534	3.9677	3.8131
"LOC101927420"	8.0916	8.0928	7.9808	8.2279	8.2259	8.2296
"LOC101927432"	3.9278	3.8786	3.9944	3.952	3.8971	3.7957
"LOC101927438"	3.7056	3.5773	3.7392	3.7211	3.7654	3.5868
"LOC101927447"	3.7327	3.5535	3.3693	3.5192	3.5514	3.5811
"LOC101927450"	3.2022	3.1674	3.13	3.1561	3.1341	3.2153
"LOC101927451"	6.3098	6.342	6.6133	6.6171	6.4509	6.562
"LOC101927460"	3.989	3.8703	3.8623	3.6915	3.7208	3.9013
"LOC101927467"	5.6909	5.6275	5.5263	5.5694	5.6673	5.5331
"LOC101927479"	4.0806	4.0766	4.3883	4.1071	4.1606	3.9862
"LOC101927482"	2.8562	2.9418	2.9217	2.9928	2.9068	2.8248
"LOC101927490"	3.5993	3.7596	3.4878	3.6641	3.6249	3.8456
"LOC101927494"	3.0416	2.868	2.9461	2.91	3.0048	3.0139
"LOC101927495"	3.7097	3.8903	3.7803	3.8731	3.7972	3.9473
"LOC101927499"	3.3824	3.5327	3.751	3.6436	3.5294	3.5242
"LOC101927502"	3.8704	3.5521	3.8924	3.6091	3.8843	3.7633
"LOC101927503"	6.0856	6.0925	6.3098	6.0975	6.3308	5.7357
"LOC101927513"	5.301	5.0416	5.1015	4.9872	5.038	5.3011
"LOC101927516"	3.6957	3.6155	3.6487	3.6257	3.6267	3.4847
"LOC101927523"	3.3707	3.5677	3.5332	3.2896	3.4431	3.2827
"LOC101927526"	4.9589	4.5292	4.9341	4.6522	4.6246	4.7238
"LOC101927531"	4.1232	4.2296	4.2283	4.1946	4.2175	4.1755
"LOC101927534"	6.449	6.3899	6.4578	6.2728	6.3902	6.3014
"LOC101927539"	5.2306	5.4425	5.2481	5.2023	5.3734	5.2988
"LOC101927543"	4.1457	3.9473	4.172	4.191	4.14	4.0293
"LOC101927550"	4.52	4.5626	4.3876	4.2975	4.3635	4.2945
"LOC101927552"	4.2937	4.6528	4.6134	4.4806	4.3667	4.6943
"LOC101927553"	4.6539	4.5256	4.6078	4.389	4.6511	4.8314
"LOC101927588"	3.6756	3.6073	3.8618	3.658	3.7299	3.7468
"LOC101927592"	4.3541	4.2402	4.525	3.9226	4.4547	4.3977
"LOC101927603"	6.1569	6.1715	6.2567	5.8806	5.8557	6.1071
"LOC101927604"	5.0379	4.8547	4.817	4.9019	4.8883	4.5448
"LOC101927606"	4.2171	4.1437	4.3241	4.2674	4.3	4.2938
"LOC101927608"	6.4719	6.2626	5.9547	6.193	6.1558	6.2403
"LOC101927609"	4.4719	4.4478	4.6235	4.6757	4.5061	4.6498
"LOC101927610"	3.7726	3.814	3.8149	3.7874	3.9039	3.7822
"LOC101927616"	2.9198	2.8126	2.7756	3.0748	2.8293	2.88
"LOC101927620"	3.6007	3.5226	3.6764	3.7221	3.6999	3.8755
"LOC101927623"	4.6718	4.6493	4.8538	4.5538	4.7157	4.766
"LOC101927636"	2.9588	2.9963	3.226	3.163	3.1736	3.0746
"LOC101927640"	4.8347	4.7183	4.7151	4.7629	4.8374	4.7043
"LOC101927641"	4.0756	4.1842	4.0848	4.2269	4.1405	4.2584
"LOC101927647"	3.2879	3.2344	3.262	3.4174	3.2153	3.262
"LOC101927648"	4.0301	3.9476	3.8652	3.7327	4.1807	4.0096
"LOC101927650"	4.2843	4.2765	4.2593	4.2355	4.2528	4.2344
"LOC101927653"	4.5656	4.2931	4.3698	4.2584	4.4742	4.4617
"LOC101927657"	3.6622	3.6964	3.569	3.7129	3.722	3.8289
"LOC101927660"	3.3807	3.3807	3.251	3.4455	3.3163	3.3167
"LOC101927668"	3.5132	3.6024	3.4428	3.4667	3.5264	3.4946
"LOC101927690"	3.7797	3.5951	3.7062	3.5701	3.7203	3.8444
"LOC101927699"	5.133	5.2065	5.2028	5.0518	5.1548	5.0647
"LOC101927701"	4.4844	4.4544	4.4158	4.1852	4.6347	4.5585
"LOC101927702"	6.0256	6.0166	6.0871	6.0229	5.9839	6.1057
"LOC101927709"	2.9894	2.8448	2.8589	2.866	2.8125	2.9082
"LOC101927723"	3.1865	3.3389	3.2468	3.3237	3.4122	3.1233
"LOC101927735"	4.1773	3.7308	3.8533	4.1326	3.9994	4.0743
"LOC101927746"	6.5703	6.6286	6.3299	6.3564	6.213	6.2806
"LOC101927752"	5.3469	5.2104	5.3128	5.7265	5.613	5.6929
"LOC101927760"	4.1062	4.0944	4.0734	3.9487	3.9742	3.9714
"LOC101927766"	4.4534	4.5562	4.3589	4.3877	4.3118	4.5971
"LOC101927768"	4.7616	4.3784	4.75	4.5993	4.5104	4.3593
"LOC101927769"	3.2889	3.1993	3.2104	3.3336	3.1002	3.1801
"LOC101927770"	4.0332	3.7089	3.8558	4.0217	4.0363	3.9259
"LOC101927787"	4.2893	4.3185	4.2369	4.2856	4.3079	4.6007
"LOC101927790"	3.4547	3.4684	3.4851	3.5839	3.4848	3.4666
"LOC101927797"	3.4553	3.3867	3.4196	3.3407	3.395	3.3024
"LOC101927798"	3.6327	3.3866	3.5699	3.5851	3.4809	3.3626
"LOC101927809"	5.7785	6.0814	6.1144	6.5422	6.5551	6.3848
"LOC101927811"	4.9152	4.8762	4.879	5.2	5.1566	5.0637
"LOC101927814"	4.9843	4.8961	5.0011	4.8906	5.03	4.9195
"LOC101927815"	3.5809	3.3215	3.6112	3.4042	3.4821	3.4589
"LOC101927824"	4.5607	4.7645	4.8035	4.8551	4.8493	4.8878
"LOC101927829"	3.3404	3.1199	3.2886	3.1833	3.2968	3.5657
"LOC101927839"	4.8292	4.7949	4.6589	4.5657	4.7409	4.6589
"LOC101927841"	5.2469	5.5951	5.7282	5.9728	5.6491	5.7691
"LOC101927843"	4.4831	4.8885	4.6774	4.9518	4.9518	4.8056
"LOC101927849"	5.5021	5.4517	5.5381	5.6299	5.4865	5.5291
"LOC101927851"	4.4078	4.4545	4.3861	4.2679	4.5606	4.4993
"LOC101927865"	4.4633	4.0693	4.2646	4.1554	4.2492	4.3575
"LOC101927869"	2.9515	3.2429	3.1792	3.116	3.1597	3.1974
"LOC101927870"	3.165	3.2175	3.2113	3.065	3.0827	3.1901
"LOC101927876"	4.6718	4.3179	4.6274	4.773	4.5985	4.7812
"LOC101927877"	4.5677	4.4746	4.5696	4.4663	4.741	4.5155
"LOC101927884"	5.2991	5.1152	5.2876	5.1189	5.315	5.6623
"LOC101927901"	3.3957	3.2253	3.2193	3.2045	3.2453	3.5442
"LOC101927907"	3.4115	3.6225	3.2731	3.5767	3.4346	3.3644
"LOC101927914"	5.3733	5.3578	5.3052	5.2652	5.3554	5.4059
"LOC101927934"	5.5707	5.5648	5.6637	5.5552	5.6515	5.671
"LOC101927943"	3.6945	3.9084	3.5503	3.7075	3.5899	3.8714
"LOC101927948"	3.9745	3.6472	4.0611	3.989	3.8423	4.1096
"LOC101927950"	5.4061	5.4062	5.3496	5.3257	5.3333	5.2564
"LOC101927958"	4.7872	4.6646	4.6868	4.4131	4.7064	4.6994
"LOC101927967"	3.5946	3.6964	3.637	3.4694	3.6586	3.5979
"LOC101927972"	2.8278	3.2032	3.0276	3.0834	3.0008	3.1348
"LOC101927974"	7.975	8.2143	7.9896	7.1468	7.2456	7.0435
"LOC101928000"	8.7869	8.7202	8.8169	8.9337	8.9607	8.909
"LOC101928002"	3.5652	3.6666	3.2736	3.2804	3.1543	3.2384
"LOC101928009"	4.6533	4.2662	4.3819	4.5276	4.613	4.5859
"LOC101928012"	3.1876	3.1964	3.2051	3.2458	3.18	3.1964
"LOC101928014"	5.2642	4.8949	5.0271	4.7424	5.257	5.0316
"LOC101928020"	3.0758	3.2077	2.8905	3.0077	3.0293	3.017
"LOC101928031"	3.4328	3.6637	3.4802	3.5269	3.5811	3.5713
"LOC101928035"	3.2391	3.257	3.3805	3.2579	3.4328	3.3127
"LOC101928043"	4.1868	4.1835	4.1111	4.3027	4.1621	4.2206
"LOC101928045"	4.6008	4.8872	4.6431	4.258	4.228	4.0684
"LOC101928047"	3.2861	3.1215	3.4124	2.9051	3.2777	3.222
"LOC101928052"	2.9392	3.0023	3.0965	2.9176	3.1565	2.954
"LOC101928068"	6.5569	6.5629	6.4701	6.5319	6.5857	6.595
"LOC101928069"	5.8935	5.749	5.9862	6.3953	6.1024	5.9417
"LOC101928076"	9.0218	9.005	9.076	8.3931	8.2442	8.0053
"LOC101928087"	4.2417	4.2718	4.5981	4.2295	4.4278	4.3873
"LOC101928098"	3.4889	3.2438	3.3576	3.1654	3.332	3.504
"LOC101928100"	7.0584	7.0187	6.8497	6.6862	6.7133	6.4829
"LOC101928101"	3.5993	3.6266	3.6622	3.5123	3.5007	3.6441
"LOC101928107"	4.5751	4.5463	4.4831	4.4899	4.513	4.4477
"LOC101928111"	5.4861	5.5729	5.5328	5.7879	5.8958	5.8052
"LOC101928123"	4.0578	3.9859	4.1447	4.049	4.0962	4.0514
"LOC101928132"	5.0078	4.6623	4.9193	4.8345	4.9148	4.5714
"LOC101928134"	5.4115	5.3154	5.4018	5.2642	5.5049	5.2581
"LOC101928135"	3.3796	3.6492	3.6213	3.6079	3.7085	3.6967
"LOC101928139"	4.1673	4.0071	4.1244	4.0191	4.2757	4.2269
"LOC101928140"	3.5139	3.5787	3.3547	3.4163	3.4537	3.3892
"LOC101928144"	6.0628	5.8558	5.8745	5.8354	5.8738	5.7996
"LOC101928152"	4.6251	4.8926	4.6935	4.5335	4.7816	4.8471
"LOC101928161"	3.4935	3.4332	3.6164	3.2983	3.3202	3.4895
"LOC101928162"	3.636	3.682	3.9405	4.0023	3.8603	3.871
"LOC101928167"	3.4709	3.1207	3.3318	3.0888	3.1038	3.233
"LOC101928173"	5.0995	5.3333	5.1878	5.2244	5.0425	5.1931
"LOC101928182"	3.2266	3.2075	3.3137	3.2956	3.038	2.9039
"LOC101928185"	4.5409	4.4157	4.409	4.3667	4.5123	4.4511
"LOC101928191"	5.0613	4.882	4.9315	4.7389	4.9168	4.7939
"LOC101928196"	3.4585	3.6379	3.7977	3.7307	3.5386	3.5647
"LOC101928201"	3.3142	3.2564	3.3163	3.1243	3.2085	3.2967
"LOC101928205"	4.6326	4.2905	4.4717	4.3639	4.6016	4.6627
"LOC101928207"	3.8041	3.8341	3.7672	3.4099	3.8031	3.6469
"LOC101928211"	3.1006	3.1562	2.9751	3.1576	3.1026	2.9883
"LOC101928222"	5.431	5.6363	5.4698	5.6903	5.6639	5.7127
"LOC101928225"	3.1444	3.2262	3.3247	3.2138	3.3143	3.6061
"LOC101928230"	6.6078	6.3937	6.4708	6.8633	6.6679	6.9293
"LOC101928231"	4.3333	4.305	4.2082	4.081	4.239	4.2338
"LOC101928238"	4.9935	4.6805	4.4947	4.5679	4.7774	4.7322
"LOC101928251"	4.4282	4.4131	4.4515	4.4163	4.558	4.3698
"LOC101928255"	4.9639	4.783	4.9508	4.8423	4.7521	5.0287
"LOC101928259"	3.9113	4.0351	3.7809	3.9499	3.6749	3.5524
"LOC101928269"	5.2575	4.8717	5.1589	4.9202	5.2464	5.0739
"LOC101928271"	2.9514	3.0077	3.0107	3.0933	2.9532	3.0279
"LOC101928273"	3.3553	3.2379	3.4381	3.2443	3.1677	3.4245
"LOC101928277"	4.0039	3.9794	4.0928	3.8906	3.9947	3.9247
"LOC101928278"	5.2663	5.2054	5.3584	4.907	5.2141	5.2001
"LOC101928280"	4.1294	4.2405	4.1311	4.1594	4.1517	4.3942
"LOC101928283"	3.1939	3.148	3.2132	3.1239	3.2147	3.1552
"LOC101928284"	3.9691	3.9522	4.169	4.3099	4.1564	4.0506
"LOC101928288"	5.9509	5.936	5.8973	5.7912	5.9323	5.621
"LOC101928291"	6.7433	6.8774	6.8415	6.7136	6.4905	6.6184
"LOC101928298"	3.5257	3.3298	3.456	3.483	3.3337	3.6306
"LOC101928303"	4.1789	4.1019	4.2455	3.9388	3.8199	3.747
"LOC101928304"	5.6412	5.3518	5.5631	5.4485	5.4607	5.5248
"LOC101928306"	3.8412	3.7329	3.7445	3.7	3.9469	3.8139
"LOC101928307"	5.9779	6.1435	6.1888	6.2488	6.2859	6.13
"LOC101928309"	4.3926	4.3991	4.5462	4.2735	4.3035	4.2688
"LOC101928314"	3.9985	3.9293	4.0717	4.0409	4.089	4.1916
"LOC101928323"	5.9492	5.8364	5.8659	5.8794	5.866	5.8009
"LOC101928324"	5.282	5.0069	5.0213	5.0217	5.1568	5.2227
"LOC101928326"	3.7861	3.8538	3.7122	3.8375	3.8897	3.8493
"LOC101928327"	4.1031	4.1142	4.0868	4.1005	4.1762	3.9967
"LOC101928333"	4.5825	4.1732	4.371	4.5203	4.2533	4.2762
"LOC101928335"	3.813	3.6277	3.5807	3.6416	3.782	3.8231
"LOC101928343"	6.4103	6.3666	6.3277	6.1949	6.396	6.378
"LOC101928370"	3.6202	3.6344	3.8674	4.1763	3.9386	3.6653
"LOC101928386"	3.0561	3.2332	3.0964	2.9602	3.0105	3.0508
"LOC101928389"	3.9096	4.0825	4.045	3.8269	3.9491	4.0492
"LOC101928401"	3.3465	3.4642	3.4166	3.349	3.4095	3.4782
"LOC101928403"	5.8382	6.0091	5.8932	5.9812	5.7545	5.8261
"LOC101928405"	3.4988	3.4494	3.3107	3.426	3.3868	3.3925
"LOC101928409"	4.6766	4.5827	4.7774	4.6956	4.8488	5.1778
"LOC101928417"	3.5754	3.3421	3.4396	3.5797	3.3939	3.4262
"LOC101928418"	4.1172	4.0651	4.0421	4.2673	4.2157	4.2832
"LOC101928419"	4.4518	4.3453	4.4266	4.2448	4.3699	4.4131
"LOC101928424"	5.4756	5.6662	5.4032	5.5265	5.606	5.3533
"LOC101928429"	2.8933	3.1324	2.9743	3.2336	2.971	3.1206
"LOC101928433"	6.1501	6.1366	6.1767	6.2195	6.0175	5.8319
"LOC101928435"	5.5414	5.5803	5.4771	5.5092	5.4157	5.3876
"LOC101928443"	4.5799	4.5899	4.4959	4.6718	4.5789	4.6729
"LOC101928446"	4.0065	3.7097	3.914	3.6933	3.8421	3.7163
"LOC101928449"	3.7544	3.7105	3.5239	3.707	3.648	3.8298
"LOC101928460"	5.2644	5.0615	5.2205	5.1147	5.4121	5.3957
"LOC101928461"	4.0474	3.8969	4.2868	4.1003	4.1849	4.0057
"LOC101928464"	5.8041	5.9139	6.1887	6.0992	6.0106	6.0299
"LOC101928475"	3.8908	3.5353	3.6447	3.542	3.5877	3.6307
"LOC101928476"	3.8304	3.6417	3.5767	3.4724	3.5287	3.5436
"LOC101928487"	6.6036	6.6465	6.6217	6.7433	6.7199	6.6276
"LOC101928491"	3.637	3.3127	3.4115	3.5777	3.53	3.4216
"LOC101928495"	2.9947	3.2046	3.1024	2.9877	3.0486	2.9445
"LOC101928504"	4.8527	4.7571	4.7825	4.9223	4.6785	4.8039
"LOC101928505"	3.6717	3.5452	3.3839	3.3099	3.3107	3.6085
"LOC101928510"	3.1629	3.1399	3.4077	3.0368	3.1663	3.1508
"LOC101928516"	3.8371	3.9736	3.9629	3.8025	4.0148	4.0736
"LOC101928519"	3.0821	3.0305	3.0169	3.1729	2.9775	2.9925
"LOC101928521"	4.3194	4.3272	4.2871	4.0855	4.4079	4.2306
"LOC101928525"	5.7977	5.5	5.4589	5.3541	5.6634	5.8657
"LOC101928526"	4.6414	4.6474	4.3992	4.6091	4.5172	4.574
"LOC101928535"	4.177	3.8925	4.065	3.8874	3.9658	4.0211
"LOC101928539"	3.2222	2.9246	3.1141	3.0822	3.1095	2.8948
"LOC101928551"	3.7173	3.5728	3.5181	3.4821	3.4918	3.6246
"LOC101928553"	3.3154	3.2006	3.173	3.1491	3.1022	3.1329
"LOC101928554"	3.2677	3.6464	3.5598	3.6781	3.6399	3.4941
"LOC101928557"	5.6728	5.5952	5.6199	5.5244	5.452	5.6199
"LOC101928560"	4.1954	4.2825	4.1797	4.0068	4.2774	4.2405
"LOC101928565"	4.2961	4.2898	4.3345	4.1533	4.1937	4.2812
"LOC101928580"	4.2378	4.349	4.5226	4.3056	4.3788	4.2488
"LOC101928583"	2.9423	2.9858	2.9866	3.0028	3.0563	3.1402
"LOC101928590"	3.4824	3.3393	3.4539	3.3465	3.3697	3.3874
"LOC101928597"	5.4803	5.387	5.4071	5.5594	5.4003	5.6755
"LOC101928614"	3.1634	3.2604	3.1649	3.2675	3.2691	3.1634
"LOC101928618"	2.8949	2.8246	2.9073	2.9549	2.93	2.9615
"LOC101928622"	2.9954	3.0471	2.9077	2.9316	3.0553	2.9297
"LOC101928626"	3.4139	3.4485	3.3414	3.3808	3.3003	3.5312
"LOC101928632"	5.7266	5.4751	5.356	5.1577	5.5203	5.4568
"LOC101928635"	5.7022	5.7193	5.5466	5.5149	5.5621	5.7293
"LOC101928651"	3.932	3.8798	4.0271	3.8055	4.1393	4.0478
"LOC101928658"	3.8201	3.7188	3.7029	3.6189	3.6491	3.7344
"LOC101928661"	4.6998	4.8456	4.8123	4.3861	4.7449	4.6417
"LOC101928663"	3.5817	3.4212	3.5751	3.632	3.4798	3.464
"LOC101928668"	4.5041	4.4853	4.3384	4.4222	4.2974	4.4643
"LOC101928673"	6.5741	6.4119	6.6678	6.5477	6.1694	6.4528
"LOC101928682"	4.8489	4.7773	4.8295	4.8319	4.8174	4.8248
